feature,VIF
effective_bloky,2.796319521929424
bloky_cv,2.64059516046114
bloky_range,2.5931640636253843
trzby,2.57558458828365
trzby_cv,2.394674197978515
seasonal_peak_factor,2.32957540829369
podiel_rx,2.256353819003011
kpi_mean,2.201044814505437
revenue_per_transaction,1.949860769069943
