"","stredisko","funkcia","hod","fte"
"734",453,"F",168.958333333333,0.97
"735",453,"L",296.3125,1.7
"736",453,"ZF",126.5,0.73
"737",455,"F",26.6666666666667,0.15
"738",455,"L",89.6666666666667,0.52
"739",455,"ZF",85.9166666666667,0.49
"740",456,"L",150.333333333333,0.86
"741",456,"ZF",149.75,0.86
"742",457,"F",120.791666666667,0.69
"743",457,"L",292.166666666667,1.68
"744",457,"ZF",135.666666666667,0.78
"745",459,"F",148.416666666667,0.85
"746",459,"L",293.479166666667,1.69
"747",459,"ZF",140.041666666667,0.8
"748",461,"F",370.208333333333,2.13
"749",461,"L",251.333333333333,1.44
"750",461,"ZF",149.020833333333,0.86
"751",462,"F",233.916666666667,1.34
"752",462,"L",105.75,0.61
"753",462,"ZF",152.875,0.88
"754",464,"F",288.958333333333,1.66
"755",464,"L",142.75,0.82
"756",464,"ZF",149.166666666667,0.86
"757",465,"F",173.333333333333,1
"758",465,"L",134.5625,0.77
"759",465,"ZF",148.25,0.85
"760",466,"F",302.958333333333,1.74
"761",466,"L",142.958333333333,0.82
"762",466,"ZF",137.333333333333,0.79
"763",467,"F",180.208333333333,1.04
"764",467,"L",299.541666666667,1.72
"765",467,"ZF",141.083333333333,0.81
"766",469,"F",196.958333333333,1.13
"767",469,"L",284.458333333333,1.63
"768",469,"ZF",142.5,0.82
"769",470,"F",319.541666666667,1.84
"770",470,"L",165.291666666667,0.95
"771",470,"ZF",158.083333333333,0.91
"772",471,"F",136.833333333333,0.79
"773",471,"L",129.25,0.74
"774",471,"ZF",109.625,0.63
"775",474,"F",290.791666666667,1.67
"776",474,"L",262.916666666667,1.51
"777",474,"ZF",138,0.79
"778",501,"F",241.458333333333,1.39
"779",501,"L",284,1.63
"780",501,"ZF",129.75,0.75
"781",502,"F",353.729166666667,2.03
"782",502,"ZF",140.6875,0.81
"783",503,"F",137.5,0.79
"784",503,"L",141.666666666667,0.81
"785",503,"ZF",147.833333333333,0.85
"786",504,"F",302.895833333333,1.74
"787",504,"L",122.708333333333,0.71
"788",504,"ZF",134.5,0.77
"789",505,"F",272.604166666667,1.57
"790",505,"L",143.5,0.82
"791",505,"ZF",143.958333333333,0.83
"792",506,"L",145.333333333333,0.84
"793",506,"ZF",150.375,0.86
"794",511,"F",92.4583333333333,0.53
"795",511,"L",140.666666666667,0.81
"796",511,"ZF",91.4166666666667,0.53
"797",515,"F",367.791666666667,2.11
"798",515,"L",281.5,1.62
"799",515,"ZF",138.833333333333,0.8
"800",516,"F",298.166666666667,1.71
"801",516,"L",293.5,1.69
"802",516,"ZF",140.541666666667,0.81
"803",518,"F",401.166666666667,2.31
"804",518,"L",276.333333333333,1.59
"805",518,"ZF",141.666666666667,0.81
"806",520,"L",97.375,0.56
"807",520,"ZF",105,0.6
"808",523,"F",76,0.44
"809",523,"L",162.5,0.93
"810",523,"ZF",113.833333333333,0.65
"811",524,"L",285.666666666667,1.64
"812",524,"ZF",146.25,0.84
"813",551,"F",120.708333333333,0.69
"814",551,"L",289.25,1.66
"815",551,"ZF",135.208333333333,0.78
"816",552,"F",109.208333333333,0.63
"817",552,"L",152,0.87
"818",552,"ZF",149.333333333333,0.86
"819",553,"F",77.3333333333333,0.44
"820",553,"L",149,0.86
"821",553,"ZF",108.25,0.62
"822",554,"F",289.583333333333,1.66
"823",554,"ZF",15.2916666666667,0.09
"824",555,"F",151.083333333333,0.87
"825",555,"L",139.583333333333,0.8
"826",555,"ZF",151.416666666667,0.87
"827",556,"F",143.541666666667,0.82
"828",556,"ZF",108.5,0.62
"829",558,"L",158.708333333333,0.91
"830",558,"ZF",137.583333333333,0.79
"831",561,"L",72.6666666666667,0.42
"832",561,"ZF",80.6666666666667,0.46
"833",562,"F",68.6666666666667,0.39
"834",562,"L",127.791666666667,0.73
"835",562,"ZF",138.458333333333,0.8
"836",563,"ZF",15.9583333333333,0.09
"837",565,"F",146.916666666667,0.84
"838",565,"L",157.125,0.9
"839",565,"ZF",148.125,0.85
"840",602,"F",325.125,1.87
"841",602,"L",439.291666666667,2.52
"842",602,"ZF",149.791666666667,0.86
"843",603,"F",150.625,0.87
"844",603,"L",303.083333333333,1.74
"845",603,"ZF",148.458333333333,0.85
"846",604,"F",155.791666666667,0.9
"847",604,"ZF",151.375,0.87
"848",605,"F",871.416666666667,5.01
"849",605,"L",734.166666666667,4.22
"850",605,"ZF",132,0.76
"851",606,"ZF",0,0
"852",608,"F",151.375,0.87
"853",608,"L",134.333333333333,0.77
"854",608,"ZF",145.625,0.84
"855",609,"F",222.916666666667,1.28
"856",609,"L",293.25,1.69
"857",609,"ZF",146.666666666667,0.84
"858",610,"F",235.333333333333,1.35
"859",610,"L",121.375,0.7
"860",610,"ZF",82.7083333333333,0.48
"861",611,"F",131.666666666667,0.76
"862",611,"L",148.666666666667,0.85
"863",611,"ZF",162.583333333333,0.93
"864",612,"L",153.333333333333,0.88
"865",612,"ZF",136.625,0.79
"866",613,"F",100.666666666667,0.58
"867",613,"ZF",142.083333333333,0.82
"868",614,"F",134.895833333333,0.78
"869",614,"L",295.958333333333,1.7
"870",614,"ZF",147.395833333333,0.85
"871",615,"L",147.666666666667,0.85
"872",615,"ZF",136.333333333333,0.78
"873",616,"F",299.291666666667,1.72
"874",616,"L",374.041666666667,2.15
"875",616,"ZF",116.083333333333,0.67
"876",617,"F",284.958333333333,1.64
"877",617,"L",421.583333333333,2.42
"878",617,"ZF",153.875,0.88
"879",618,"F",383.875,2.21
"880",618,"L",604.875,3.48
"881",618,"ZF",146.708333333333,0.84
"882",619,"F",176.458333333333,1.01
"883",619,"L",138.666666666667,0.8
"884",619,"ZF",122.208333333333,0.7
"885",620,"F",301.666666666667,1.73
"886",620,"L",285,1.64
"887",620,"ZF",109.166666666667,0.63
"888",621,"F",145.5,0.84
"889",621,"L",145.791666666667,0.84
"890",621,"ZF",115.791666666667,0.67
"891",624,"F",235.083333333333,1.35
"892",624,"L",276.5,1.59
"893",624,"ZF",102.958333333333,0.59
"894",626,"L",437.958333333333,2.52
"895",626,"ZF",156.083333333333,0.9
"896",627,"F",160.25,0.92
"897",627,"L",417.333333333333,2.4
"898",627,"ZF",138.083333333333,0.79
"899",628,"F",151.541666666667,0.87
"900",628,"L",87.2083333333333,0.5
"901",628,"ZF",146.395833333333,0.84
"902",629,"F",137.625,0.79
"903",629,"L",276.208333333333,1.59
"904",629,"ZF",124.416666666667,0.72
"905",630,"F",82,0.47
"906",630,"L",143.333333333333,0.82
"907",630,"ZF",127.333333333333,0.73
"908",631,"L",142,0.82
"909",631,"ZF",155.5,0.89
"910",633,"F",123.666666666667,0.71
"911",633,"L",151.291666666667,0.87
"912",633,"ZF",148.333333333333,0.85
"913",634,"F",197.708333333333,1.14
"914",634,"L",134.041666666667,0.77
"915",634,"ZF",158.666666666667,0.91
"916",635,"F",351.541666666667,2.02
"917",635,"L",443.916666666667,2.55
"918",635,"ZF",66.75,0.38
"919",637,"F",13.3333333333333,0.08
"920",637,"L",0,0
"921",637,"ZF",101.75,0.58
"922",638,"F",278.75,1.6
"923",638,"ZF",134.916666666667,0.78
"924",639,"F",287.166666666667,1.65
"925",639,"L",280.625,1.61
"926",639,"ZF",147.041666666667,0.85
"927",649,"F",295.333333333333,1.7
"928",649,"ZF",132.666666666667,0.76
"929",661,"L",131.604166666667,0.76
"930",661,"ZF",143.333333333333,0.82
"931",662,"F",140.833333333333,0.81
"932",662,"L",143.208333333333,0.82
"933",662,"ZF",19.375,0.11
"934",663,"ZF",146.291666666667,0.84
"935",664,"F",308.458333333333,1.77
"936",664,"L",218.791666666667,1.26
"937",664,"ZF",37.3333333333333,0.21
