"","id","ZF","F","L"
"287",515,1,2.97916666666667,2
"288",516,1,2,2
"289",518,1,3,2.16666666666667
"290",520,0.75,NA,0.916666666666667
"291",523,0.875,1.08333333333333,1.5
"292",524,1,NA,2
"293",551,1,1.25,2
"294",552,1,0.75,1
"295",553,0.75,0.5,1
"296",554,0.13,1.91666666666667,NA
"297",555,1,1,1
"298",556,1,1,NA
"299",558,1,NA,1
"300",561,0.583333333333333,NA,0.5
"301",562,1,0.5,0.833333333333333
"302",563,0.108333333333333,NA,NA
"303",565,1,1,1
"304",602,1,2.25,3.08333333333333
"305",603,1,1,2
"306",604,1,1,NA
"307",605,1,5.91666666666667,5.50333333333333
"308",606,0.0316666666666667,NA,NA
"309",608,1,1.08333333333333,1
"310",609,1,2,2
"311",610,0.731666666666667,1.63,1
"312",611,1,1,1
"313",612,1,NA,1
"314",613,1,0.666666666666667,NA
"315",614,1,1.80333333333333,2
"316",615,1,NA,1
"317",616,1,2.16666666666667,2.91666666666667
"318",617,1,1.91666666666667,3.33333333333333
"319",618,1,2.83333333333333,4
"320",619,0.865833333333333,1.16666666666667,1
"321",620,1,2,2
"322",621,0.916666666666667,1,1
"323",624,0.919166666666667,1.83333333333333,1.89583333333333
"324",626,1,NA,3
"325",627,1,1,3
"326",628,1,1,0.666666666666667
"327",629,1,1,2
"328",630,1,0.75,1
"329",631,1,NA,1
"330",633,1,0.88,1
"331",634,1,1.91666666666667,1
"332",635,0.4925,2.41666666666667,3
"333",637,0.666666666666667,0.0833333333333333,0.166666666666667
"334",638,0.970833333333333,2.04166666666667,NA
"335",639,1,2,2
"336",649,1,2,NA
"337",661,1,NA,1
"338",662,0.13,1,1
"339",663,1,NA,NA
"340",664,0.25,2.25,1.75
