id,trzby,naklady,bloky,typ,regional,mesto,hodnota_bloku,podiel_rx,ZF,F,L,fte,fte_n
2,1154617.09,84618.77,61770,D - street,RR15_Miroslava Kolesárová,"Bratislava, Obchodná",18.692198316334792,0.4713968,0.13266283524904215,2.3342911877394634,1.8541666666666667,4.321120689655173,0.689176245210728
3,754015.45,55539.53,33650,E - poliklinika,RR13_Slavomír Bodnár,Senec,22.407591381872212,0.7395328305275444,0.8292624521072797,1.439176245210728,0,2.2684386973180075,0.27011494252873564
5,945226.53,56116.91,50640,D - street,RR2_Silvia Mastikova,"Vranov n.T., centrum",18.665610781990523,0.5693855736359833,1.3208812260536398,0.3881704980842912,0.8237547892720307,2.5328065134099615,0.31992337164750956
6,1326786.58,70503.66,52628,C - street +,RR8_Katarína Kuchtová,"Turzovka, mesto",25.21065934483545,0.715344678870659,0.8436302681992338,0.7777777777777778,1.6103927203065134,3.231800766283525,0.6915708812260536
7,610019.9400000001,55525.42,35146,C - street +,RR3_Jana Majernikova,"Prešov, 17.novembra",17.356738746941332,0.615215659999573,0.8953544061302683,0.8718869731800767,0.4525862068965517,2.219827586206897,0.5926724137931034
9,1412738.8,69113.01,58861,E - poliklinika,RR2_Silvia Mastikova,"Humenné, NsP",24.00127079050645,0.7969313931209365,1.306513409961686,0.9104406130268199,1.8591954022988506,4.0761494252873565,1.0172413793103448
11,1644725.11,129679.53,122317,B - shopping,RR5_Juraj Hvorecky,"Rimavská Sobota, Kaufland",13.44641472567182,0.5627199064286189,0.4157088122605364,2.2380268199233715,3.0213122605363987,5.675047892720307,2.2701149425287355
12,1559378.57,100957.38,109587,B - shopping,RR1_Beata Kubanova,"Michalovce, TESCO",14.229594477447144,0.4791442850211799,0.8314176245210727,1.7756226053639845,2.5797413793103448,5.1867816091954015,1.1551724137931034
13,744650.0599999999,49397.2,42016,C - street +,RR4_Radovan Kalmar,"Košice, Merkúr",17.723011709824828,0.6205871923249425,0.6637931034482758,0.8709291187739464,0.9183429118773946,2.453065134099617,0.36637931034482757
14,1986298.47,109876.76,128266,B - shopping,RR3_Jana Majernikova,"Spiš.N.Ves, OC Madaras",15.485775419830665,0.5029607005637979,0.8690134099616859,2.696599616858238,1.732998084291188,5.298611111111112,1.0181992337164751
15,1555373.54,115051.43,114526,B - shopping,RR2_Silvia Mastikova,"Humenné, Kaufland",13.580964497144754,0.488715855356521,0.7392241379310345,1.91044061302682,1.8757183908045976,4.525383141762452,0.4942528735632184
