id,kme_ov’,nepr’tomnos_,z‡stup,,zastup_perc
131,3.697557471,0.878591954,0.096503831,,0.026099346
132,3.74401341,0.88697318,NA,,NA
134,1.590756705,0.511494253,0.232279693,,0.146018365
135,2.004310345,0.36302682,0.194444444,,0.097013142
136,4.368773946,1.205699234,0.012212644,,0.00279544
138,2.516283525,0.327346743,0.109434866,,0.043490674
139,1.475814176,0.366858238,0.147030651,,0.099626805
141,4.34841954,1.026819923,0.384818008,,0.088496063
143,4.756226054,0.513170498,0.003831418,,0.000805558
144,6.658764368,2.827586207,0.143438697,,0.021541339
145,4.552681992,0.700431034,0.437021073,,0.095992005
146,5.28855364,0.680076628,0.150143678,,0.02839031
147,0.789511494,0.168582375,0.150862069,,0.191082803
148,1.431992337,0.228927203,0.075550766,,0.052759197
149,4.207375479,0.61302682,0.039750958,,0.009447923
151,6.540708812,0.931034483,0.091475096,,0.013985502
159,2.256465517,1.082375479,0.091954023,,0.040751353
161,3.557950192,0.464559387,0.375838123,,0.105633329
162,4.130268199,1.074712644,0.136733716,,0.033105288
163,4.830938697,0.95545977,0.1848659,,0.038267076
164,4.190972222,0.585847701,0.018917625,,0.004513899
174,5.134818008,0.745210728,0.066331418,,0.012917969
175,4.407327586,1.167624521,0.382423372,,0.086769899
176,1.630028736,0.241139847,0.298850575,,0.183340679
177,6.551484674,1.145354406,0.179118774,,0.027340181
178,4.133141762,0.823754789,0.953544061,,0.230706837
179,3.471503831,0.833333333,0.105124521,,0.030282127
180,1.347222222,0.206657088,0.717193487,,0.532349804
181,1.680555556,0.698754789,0.466714559,,0.277714449
182,2.348180077,0.425287356,0.028256705,,0.012033449
183,2.525143678,0.463840996,0.064176245,,0.025414889
184,2.979885057,0.481082375,0.073036398,,0.024509804
192,4.703544061,0.822078544,0.475814176,,0.101160778
194,3.74137931,1.074712644,0.395354406,,0.105670763
195,4.823754789,0.662835249,0.331178161,,0.068655679
196,5.54789272,1.282088123,0.51795977,,0.093361533
197,10.18151341,1.607998084,0.054837165,,0.005385954
198,4.124281609,0.587164751,0.017720307,,0.00429658
201,1.212404215,0.215277778,0.149664751,,0.123444598
202,3.338840996,0.417863985,0.592911877,,0.177580148
203,1.633141762,0.263409962,0.1223659,,0.074926686
204,0.070402299,0.078544061,NA,,NA
207,4.175766284,0.728927203,0.035680077,,0.008544558
209,3.005747126,1.814894636,0.133141762,,0.04429573
210,2.560344828,0.385057471,0.022509579,,0.00879162
211,3.417145594,0.496168582,0.415948276,,0.121723896
212,3.67289272,0.594588123,0.453544061,,0.123484157
214,0.806992337,0.097701149,0.063218391,,0.078338279
216,3.600574713,0.569683908,0.138888889,,0.038574089
217,3.309626437,0.513409962,0.031609195,,0.009550684
218,2.103448276,0.545977011,0.051724138,,0.024590164
220,5.429118774,0.956178161,0.004549808,,0.000838038
221,4.966714559,1.862787356,0.072796935,,0.01465696
223,8.639367816,1.767720307,0.069683908,,0.008065857
224,3.185105364,0.444923372,0.001197318,,0.000375912
225,1.67217433,0.300766284,0.475694444,,0.284476586
226,3.501676245,0.711685824,0.347222222,,0.099158859
227,1.017001916,0.526819923,1.058069923,,1.040381446
228,5.077346743,1.116858238,0.161637931,,0.031835118
229,2.718151341,0.312260536,0.245210728,,0.090212316
230,1.686302682,0.218390805,NA,,NA
234,0,0,NA,,NA
236,5.651819923,0.979166667,0.105363985,,0.018642488
238,3.3151341,0.714798851,0.096743295,,0.029182317
239,1.559386973,0.494252874,0.210488506,,0.134981572
240,2.833572797,0.888888889,0.484434866,,0.170962562
241,3.222341954,1.216594828,0.112547893,,0.034927359
242,3.790828544,0.92684387,0,,0
243,0.893199234,0.071599617,0.477011494,,0.534048257
244,0.069204981,0.348659004,0.994971264,,14.37716263
246,2.438338123,0.549928161,0.039750958,,0.01630248
248,5.499281609,1.058908046,0.102011494,,0.018549967
249,2.90158046,0.638170498,0.421336207,,0.14520921
251,3.713362069,0.936781609,0.658045977,,0.177210292
252,2.303639847,0.472701149,0.057471264,,0.024948025
254,2.072796935,1.091714559,0.109195402,,0.052680222
255,4.515086207,0.586206897,0.018438697,,0.004083797
256,0.881704981,0.239942529,0.16954023,,0.192286801
258,3.512092912,0.787356322,0.017001916,,0.004840964
259,2.616020115,0.273108238,NA,,NA
261,2.073275862,0.522988506,0.241858238,,0.116655117
262,2.50933908,0.742337165,0.013888889,,0.005534879
263,2.477729885,0.362308429,0.130268199,,0.052575626
264,1.645474138,0.451029693,0.366858238,,0.222949865
265,3.429118774,0.41954023,0.29717433,,0.086662011
266,0.127394636,0.01532567,0.051484674,,0.404135338
267,4.341235632,0.551724138,0.071599617,,0.016492912
270,3.932710728,0.468390805,0.128591954,,0.032698045
271,2.617337165,0.587643678,0.525862069,,0.200914913
272,3.372605364,0.457854406,0.021551724,,0.00639023
273,3.029214559,0.367097701,0.039032567,,0.012885375
274,1.831178161,0.88960728,0.062021073,,0.033869491
275,2.505028736,0.337404215,0.003831418,,0.00152949
277,3.136254789,0.474377395,0.003831418,,0.001221654
278,1.600574713,0.322557471,0.310344828,,0.193895871
279,2.30651341,0.396551724,0.122844828,,0.053259967
280,0.963122605,0.118773946,1.114942529,,1.157633018
281,2.078544061,0.325191571,0.059386973,,0.028571429
