id,mesto,payroll_F,payroll_L,payroll_ZF,payroll_total,allcsv_F,allcsv_L,allcsv_ZF,allcsv_fte,allcsv_fte_n,diff_F,diff_L,diff_ZF,diff_total
319,Modra,0.9,0.88,0.62,2.4,0.93,0.89,0.57,2.39,0.66,-0.03,-0.01,0.05,0.01
320,Modra,0.83,1.08,0.83,2.74,0.87,0.95,0.88,2.71,0.47,-0.04,0.13,-0.06,0.03
322,,2.48,0.88,0.21,3.57,,,,,,,,,
325,,1.81,2.54,0.8,5.15,,,,,,,,,
326,,0.85,0.95,0.84,2.65,,,,,,,,,
327,,1.75,1.75,0.09,3.59,,,,,,,,,
328,,0.12,0.08,0.01,0.21,,,,,,,,,
329,,0.47,0.48,0.0,0.95,,,,,,,,,
331,Hanušovce nad Topľou,0.88,0.81,0.73,2.42,0.84,0.81,0.73,2.39,0.32,0.04,-0.0,-0.0,0.03
332,Martin,1.41,0.87,0.84,3.11,1.34,0.88,0.82,3.04,0.51,0.07,-0.01,0.02,0.08
333,Krupina ,0.08,0.17,0.79,1.04,0.21,0.61,0.83,1.64,0.7,-0.12,-0.43,-0.04,-0.6
334,,2.65,2.46,0.82,5.93,,,,,,,,,
335,,2.23,1.78,0.79,4.8,,,,,,,,,
336,Turčianske Teplice,0.73,0.95,0.82,2.5,0.77,0.96,0.83,2.56,0.35,-0.04,-0.01,-0.01,-0.06
337,,0.27,0.86,0.81,1.94,,,,,,,,,
338,Veľký Meder,0.85,0.22,0.21,1.28,0.95,0.27,0.22,1.45,0.14,-0.1,-0.05,-0.01,-0.17
340,Moldava nad Bodvou,0.86,1.15,0.65,2.67,0.93,0.91,0.66,2.5,0.57,-0.07,0.24,-0.01,0.16
341,,0.0,0.0,0.86,0.86,,,,,,,,,
342,,0.0,0.85,0.76,1.61,,,,,,,,,
343,,0.58,0.56,0.59,1.73,,,,,,,,,
347,,1.71,0.0,0.87,2.58,,,,,,,,,
349,,1.01,1.93,0.71,3.64,,,,,,,,,
350,,0.87,0.0,0.75,1.62,,,,,,,,,
351,,1.22,1.32,0.09,2.63,,,,,,,,,
352,,0.24,0.76,0.55,1.55,,,,,,,,,
