id,revenue_2019,revenue_2020,revenue_2021_ytd,yoy_growth_2020,yoy_growth_2021
147,619397.89,317714.39,227194.25,-48.7,7.3
149,989563.32,1063678.44,1119565.63,7.5,57.9
150,,518103.34,,,-100.0
151,2135691.58,1303497.33,1358634.2,-39.0,56.3
159,935014.16,1117283.98,283526.19,19.5,-61.9
161,677282.1,711723.38,599997.89,5.1,26.5
162,1228036.58,1236750.27,1018302.07,0.7,23.5
163,1296758.03,1379821.63,974839.39,6.4,6.0
164,1798597.01,1500319.42,1026701.48,-16.6,2.6
174,1179882.95,1499716.02,1098673.48,27.1,9.9
175,832185.68,1230817.56,799447.31,47.9,-2.6
176,596570.89,708889.62,295646.87,18.8,-37.4
177,2128792.26,1654507.67,1727321.03,-22.3,56.6
178,1401715.63,1917583.66,1060887.5,36.8,-17.0
179,108625.21,1344243.5,785558.05,1137.5,-12.3
180,481239.82,876596.23,457051.8,82.2,-21.8
181,683907.79,742836.57,491756.93,8.6,-0.7
182,820721.47,830029.78,633776.73,1.1,14.5
183,1304214.65,1090673.67,833758.0,-16.4,14.7
184,610343.33,874435.14,411852.24,43.3,-29.4
192,1310286.47,1304240.21,1133150.58,-0.5,30.3
194,805053.81,1233238.01,656431.88,53.2,-20.2
195,1229052.2,1322385.71,1235396.59,7.6,40.1
196,2188829.08,1745765.26,1015561.6,-20.2,-12.7
197,3682726.64,2418714.72,1708230.14,-34.3,5.9
198,827469.72,1692729.97,640190.92,104.6,-43.3
201,415602.95,695939.59,367586.83,67.5,-20.8
202,705440.95,548694.26,396420.84,-22.2,8.4
203,351396.84,543526.61,355493.32,54.7,-1.9
204,,153676.16,,,-100.0
207,674966.59,677796.82,885935.42,0.4,96.1
209,997620.85,966690.42,587221.1,-3.1,-8.9
210,824577.9,994156.79,704873.06,20.6,6.4
211,1082412.07,683527.14,544733.54,-36.9,19.5
212,371488.4,792389.04,896611.57,113.3,69.7
215,885710.27,494668.13,,-44.2,-100.0
216,962767.88,615824.77,717496.36,-36.0,74.8
217,590652.44,1048295.47,705738.95,77.5,1.0
218,237248.5,781917.86,385607.19,229.6,-26.0
219,1851782.58,258412.92,,-86.0,-100.0
220,3292984.21,974235.14,1069048.55,-70.4,64.6
221,3266224.34,2260331.63,1599958.76,-30.8,6.2
223,861028.89,2772502.17,1600374.45,222.0,-13.4
224,283861.68,1560256.24,641861.81,449.7,-38.3
225,,587512.83,174748.87,,-55.4
226,326087.96,422334.17,390380.88,29.5,38.7
227,1258661.47,215636.67,224238.77,-82.9,56.0
228,377626.18,1086177.47,1043172.73,187.6,44.1
229,1243852.03,630477.19,262131.25,-49.3,-37.6
230,1995288.33,266247.87,303331.86,-86.7,70.9
234,645815.88,194011.85,,-70.0,-100.0
236,724350.54,1703836.72,1304073.51,135.2,14.8
238,1249257.42,1288600.64,368375.45,3.1,-57.1
239,1217962.4,644597.82,472189.6,-47.1,9.9
240,1032775.36,968539.66,894386.14,-6.2,38.5
241,541190.57,1280337.71,900370.1,136.6,5.5
242,292317.75,1115525.83,607054.93,281.6,-18.4
243,1130952.26,697426.66,297836.64,-38.3,-35.9
244,,369459.9,197328.09,,-19.9
246,3353955.15,654171.15,613724.0,-80.5,40.7
247,1530914.27,455220.8,,-70.3,-100.0
248,870896.9,1441589.8,1453935.62,65.5,51.3
249,1526097.0,1816881.53,790601.85,19.1,-34.7
251,589200.12,1244411.79,954904.3,111.2,15.1
252,28750.94,915565.3,398783.93,,-34.7
254,164065.65,673868.61,396361.8,310.7,-11.8
255,817547.62,1000671.94,819804.09,22.4,22.9
256,575413.12,714245.98,332857.28,24.1,-30.1
258,510606.0,870126.39,840009.87,70.4,44.8
259,1370154.18,763520.2,387863.43,-44.3,-23.8
261,1497763.69,594592.03,415022.83,-60.3,4.7
262,209977.48,899270.0,897863.43,328.3,49.8
263,265607.84,1444011.35,1079864.69,443.7,12.2
264,794646.42,821138.99,215587.73,3.3,-60.6
265,491501.97,401015.85,331162.99,-18.4,23.9
267,739075.37,860419.56,898998.86,16.4,56.7
270,1336763.24,898843.03,672974.82,-32.8,12.3
271,994171.93,813145.74,491749.29,-18.2,-9.3
272,670433.05,1158170.2,861229.56,72.7,11.5
273,1217580.1,1227055.83,811125.92,0.8,-0.8
274,912298.33,880535.88,380605.73,-3.5,-35.2
275,505057.01,984991.27,689674.91,95.0,5.0
277,679545.31,932593.65,424545.33,37.2,-31.7
278,570862.56,684378.48,285038.53,19.9,-37.5
279,489211.41,591819.24,359206.98,21.0,-9.0
280,261412.03,666512.24,462849.21,155.0,4.2
281,377472.75,635154.43,395822.71,68.3,-6.5
282,37187.34,482011.27,286200.7,,-10.9
285,1069125.61,383354.9,225665.1,-64.1,-11.7
286,1079801.39,146465.63,85826.62,-86.4,-12.1
287,607090.1,863118.33,1080609.22,42.2,87.8
288,782979.78,436331.7,168823.07,-44.3,-42.0
291,1027052.54,751344.56,884602.66,-26.8,76.6
292,1092773.44,1299930.03,992690.6,19.0,14.5
293,1219841.24,935915.85,709806.4,-23.3,13.8
294,769806.14,840878.95,684082.29,9.2,22.0
295,956723.15,999674.03,825628.04,4.5,23.9
296,842123.52,1145968.17,867341.83,36.1,13.5
297,856415.12,1322947.7,1007500.48,54.5,14.2
298,987545.01,1404751.69,1007976.53,42.2,7.6
299,295522.93,1140952.42,875017.73,286.1,15.0
300,924929.47,1389045.37,1342317.13,50.2,45.0
301,705486.05,1181805.91,791979.19,67.5,0.5
305,2319.07,1084562.45,579984.45,,-19.8
306,247204.17,542513.87,182672.49,119.5,-49.5
307,800127.81,831842.48,932790.16,4.0,68.2
308,1139769.21,1157748.71,932288.18,1.6,20.8
310,604271.68,1132540.95,820938.24,87.4,8.7
311,709753.45,602227.96,227080.29,-15.1,-43.4
312,621282.61,625008.57,566042.99,0.6,35.8
313,637634.27,952117.0,648113.63,49.3,2.1
316,,840114.96,457675.81,,-18.3
317,19840.32,759201.27,467938.88,,-7.5
319,431028.01,760906.6,561965.91,76.5,10.8
320,707224.79,787478.26,483988.36,11.3,-7.8
322,209823.93,611711.43,642674.75,191.5,57.6
325,183895.99,734510.05,756096.61,299.4,54.4
326,477275.04,536276.94,319920.95,12.4,-10.5
327,195597.71,446774.98,390405.07,128.4,31.1
328,204678.44,163523.54,,-20.1,-100.0
331,286119.81,361462.47,386776.19,26.3,60.5
332,11455.01,868943.09,530900.42,,-8.4
333,147987.22,528410.64,294149.33,257.1,-16.5
334,710790.63,1376137.12,1549498.8,93.6,68.9
335,896791.04,1108099.52,498448.76,23.6,-32.5
336,576233.0,502683.57,543917.64,-12.8,62.3
337,1342540.08,476615.14,224923.18,-64.5,-29.2
338,533490.4,221797.54,270777.17,-58.4,83.1
340,401929.74,580614.81,646313.15,44.5,67.0
341,955651.93,414322.29,181378.28,-56.6,-34.3
342,975027.73,338962.48,309818.9,-65.2,37.1
343,1113079.07,124532.44,161047.54,-88.8,94.0
347,1055530.5,129681.8,302333.66,-87.7,249.7
349,885170.94,,368638.02,-100.0,
350,643861.37,274406.25,405270.88,-57.4,121.5
351,1072571.4,61326.91,382266.24,-94.3,
352,1405164.49,112165.9,336715.04,-92.0,350.3
366,938071.54,565880.65,875934.56,-39.7,132.2
368,1767104.44,67945.67,705560.74,-96.2,
371,681462.6,173309.14,203221.35,-74.6,75.9
378,1360152.61,567384.86,522065.12,-58.3,38.0
427,1587830.43,896685.56,612778.73,-43.5,2.5
451,1576058.13,717691.49,431624.29,-54.5,-9.8
453,1144406.98,1032630.08,888384.84,-9.8,29.0
455,1281191.93,817651.09,122786.01,-36.2,-77.5
456,1463863.57,451854.14,287554.91,-69.1,-4.5
457,964448.74,736366.48,624642.82,-23.6,27.2
459,358488.11,1107590.89,662997.87,209.0,-10.2
461,516562.45,1240401.39,771379.55,140.1,-6.7
462,2259659.64,1124458.32,716212.65,-50.2,-4.5
464,1284160.12,1088416.18,831597.15,-15.2,14.6
465,1724769.55,707362.7,396661.05,-59.0,-15.9
466,480886.73,861621.1,679198.8,79.2,18.2
467,707093.23,1175864.16,896260.8,66.3,14.3
469,550328.29,1121141.34,653575.18,103.7,-12.6
470,649541.36,1284271.7,864558.17,97.7,1.0
471,1085059.22,1082412.01,475196.62,-0.2,-34.1
474,897735.82,1087828.22,856387.14,21.2,18.1
501,581686.05,1598446.68,1271034.96,174.8,19.3
502,541161.1,1431558.95,771246.73,164.5,-19.2
503,430703.96,1014537.22,289748.87,135.6,-57.2
504,465619.47,1061519.85,786335.53,128.0,11.1
505,314090.19,1250662.23,833946.52,298.2,0.0
506,556860.13,1057884.31,526021.64,90.0,-25.4
509,1556958.51,377496.39,,-75.8,-100.0
511,750885.54,376827.9,400911.54,-49.8,59.6
515,1255972.9,1427018.52,1209215.73,13.6,27.1
516,731708.07,1665711.91,1056575.35,127.6,-4.9
518,660944.98,1736378.46,1276691.52,162.7,10.3
520,3082319.0,965492.98,123774.62,-68.7,-80.8
523,240620.05,471028.71,321429.97,95.8,2.4
524,784420.62,532700.75,387313.43,-32.1,9.1
551,1426416.38,660720.28,442403.79,-53.7,0.4
552,869630.88,1054998.4,819108.93,21.3,16.5
553,937657.71,1100304.22,704808.48,17.3,-3.9
554,530859.29,727127.83,420981.72,37.0,-13.2
555,525516.97,595974.99,381911.23,13.4,-3.9
556,994135.9,530454.79,320224.0,-46.6,-9.4
558,409165.3,573384.0,355396.87,40.1,-7.0
561,1361941.93,352423.96,49539.24,-74.1,-78.9
562,1433786.62,499412.98,394748.08,-65.2,18.6
563,2121057.51,261079.83,,-87.7,-100.0
565,723918.19,822531.21,648250.0,13.6,18.2
602,763423.71,1288270.34,1034671.81,68.7,20.5
603,921577.11,1005673.57,372430.11,9.1,-44.5
604,,729597.5,562200.44,,15.6
605,760229.0,2010771.04,1953604.71,164.5,45.7
606,948552.29,1206114.68,,27.2,-100.0
608,,474280.45,484857.07,,53.3
609,1154200.69,1101897.33,711078.8,-4.5,-3.2
610,1283786.34,1016889.93,592386.05,-20.8,-12.6
611,634167.25,969342.59,688569.65,52.9,6.6
612,750093.09,784672.96,428041.23,4.6,-18.2
613,709810.36,586782.55,403671.01,-17.3,3.2
614,318390.66,762444.4,597003.41,139.5,17.5
615,1018965.8,729058.81,417425.14,-28.5,-14.1
616,1387965.02,1120748.46,1032780.8,-19.3,38.2
617,1273939.26,1461905.2,1011970.22,14.8,3.8
618,361096.18,1940743.11,1541044.16,437.5,19.1
619,826845.2,1326990.15,447397.12,60.5,-49.4
620,1215772.49,822714.63,587024.33,-32.3,7.0
621,1540794.03,897837.62,551190.78,-41.7,-7.9
622,322836.98,436938.9,,35.3,-100.0
623,48664.95,,,,
624,292273.95,692209.72,542859.54,136.8,17.6
625,1173660.19,336952.31,,-71.3,-100.0
626,,636047.68,691180.75,,63.0
627,,1268205.01,814400.74,,-3.7
628,,764675.83,366737.67,,-28.1
629,,679995.03,508061.53,,12.1
630,,814248.68,530577.0,,-2.3
631,,478106.98,147580.84,,-53.7
633,,716340.29,681593.29,,42.7
634,,1250190.22,802620.32,,-3.7
635,,1250855.98,708337.62,,-15.1
637,,720502.13,215504.38,,-55.1
638,,485447.03,363979.24,,12.5
639,,945025.77,834014.88,,32.4
649,,1417476.96,983235.37,,4.0
661,,1085931.4,537550.55,,-25.7
662,,361547.62,301475.58,,25.1
663,,409981.84,273051.61,,-0.1
664,,746847.75,658032.45,,32.2
