id,mesto,regional,region_code,typ,fte,fte_F,fte_L,fte_ZF,trzby,bloky,naklady,podiel_rx,revenue_per_transaction,trzby_cv,bloky_cv,bloky_trend,kpi_mean,kpi_std,high_rx_complexity,is_shopping,is_poliklinika,is_street,produktivita,fte_zastup,weekend_traffic_ratio,peak_hours_ratio,seasonal_peak_factor,bloky_per_day,pharmacist_ratio
2,"Bratislava, Obchodná",RR15_Miroslava Kolesárová,RR15,D - street,4.321120689655173,2.17,1.88,0.11,1154617.09,61770,84618.77,0.4713968,18.692198316334792,0.1519819768608324,0.142447282131222,0.110738255033557,8.859812064599803,1.3000118388536683,0,0,0,1,6.846217788861185,0.319204980842912,0.32534447854763926,0.7141660507514166,1.1858183584264206,205.9,0.5358024691358024
3,Senec,RR13_Slavomír Bodnár,RR13,E - poliklinika,2.2684386973180075,1.05,0.0,0.72,754015.45,33650,55539.53,0.7395328305275444,22.407591381872212,0.113387833138947,0.0943721358926305,0.0434782608695652,8.37197073452493,1.3367173410837414,1,0,1,0,7.104401984587768,0.503113026819923,0.32534447854763926,0.7141660507514166,1.131887072808321,112.16666666666667,
5,"Vranov n.T., centrum",RR2_Silvia Mastikova,RR2,D - street,2.5328065134099615,0.88,0.82,0.85,945226.53,50640,56116.91,0.5693855736359833,18.665610781990523,0.1420980826887304,0.1261558091758838,0.0244102564102564,8.09401609041853,1.0089981975968267,0,0,0,1,9.575493996407303,0.488505747126437,0.32534447854763926,0.7141660507514166,1.1680094786729858,168.8,0.5176470588235295
6,"Turzovka, mesto",RR8_Katarína Kuchtová,RR8,C - street +,3.231800766283525,0.86,1.81,0.8,1326786.58,52628,70503.66,0.715344678870659,25.21065934483545,0.0857327335664766,0.0963038680253196,0.1130316124630429,7.010452210823716,0.939962169752722,1,0,0,1,7.7990515708358155,0.105124521072797,0.32534447854763926,0.7141660507514166,1.2144105799194345,175.42666666666668,0.32209737827715357
7,"Prešov, 17.novembra",RR3_Jana Majernikova,RR3,C - street +,2.219827586206897,0.85,0.4,0.88,610019.9400000001,35146,55525.42,0.615215659999573,17.356738746941332,0.1444133359469821,0.1399569554360741,0.0973479948253557,10.801086599277788,1.9210115105983636,0,0,0,1,7.582740021574961,0.0886015325670498,0.32534447854763926,0.7141660507514166,1.2872019575485119,117.15333333333334,0.6799999999999999
9,"Humenné, NsP",RR2_Silvia Mastikova,RR2,E - poliklinika,4.0761494252873565,1.41,2.3,0.82,1412738.8,58861,69113.01,0.7969313931209365,24.00127079050645,0.1051176017691802,0.1025877883718664,-0.109090909090909,6.451272143650236,0.7453125646319956,1,0,1,0,6.915873575373041,0.627155172413793,0.32534447854763926,0.7141660507514166,1.1773500280321436,196.20333333333335,0.3800539083557951
11,"Rimavská Sobota, Kaufland",RR5_Juraj Hvorecky,RR5,B - shopping,5.675047892720307,1.95,2.84,0.27,1644725.11,122317,129679.53,0.5627199064286189,13.44641472567182,0.0705385736465558,0.0630830177011082,0.104629719499175,9.63086400327792,1.250855390299841,0,1,0,0,10.322545255074047,0.790229885057471,0.32534447854763926,0.7141660507514166,1.0950562881692651,407.72333333333336,0.40709812108559496
12,"Michalovce, TESCO",RR1_Beata Kubanova,RR1,B - shopping,5.1867816091954015,1.4,2.55,0.83,1559378.57,109587,100957.38,0.4791442850211799,14.229594477447144,0.1145168518462638,0.0982055116551343,0.1702615878843506,8.384732386283037,1.111012810184281,0,1,0,0,10.118836565096958,0.40014367816092,0.32534447854763926,0.7141660507514166,1.171452818308741,365.29,0.35443037974683544
13,"Košice, Merkúr",RR4_Radovan Kalmar,RR4,C - street +,2.453065134099617,0.79,0.87,0.66,744650.0599999999,42016,49397.2,0.6205871923249425,17.723011709824828,0.1207621199442449,0.098840306473071,0.1054973821989528,8.60251608166398,1.1914821652720615,0,0,0,1,8.203045685279177,0.142480842911877,0.32534447854763926,0.7141660507514166,1.1772658035034271,140.05333333333334,0.4759036144578313
14,"Spiš.N.Ves, OC Madaras",RR3_Jana Majernikova,RR3,B - shopping,5.298611111111112,2.61,1.57,0.85,1986298.47,128266,109876.76,0.5029607005637979,15.485775419830665,0.1013731683968303,0.1420569699018638,0.0809433310297166,7.094505275389046,0.6647237710279592,0,1,0,0,11.593618655940707,0.284003831417625,0.32534447854763926,0.7141660507514166,1.2111705362293983,427.55333333333334,0.6244019138755981
